"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\catalog_embedding_indexer.py", "Python", 157, 62, 38, 257
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\catalog_service.py", "Python", 53, 33, 15, 101
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\clarification_decision_service.py", "Python", 115, 2, 16, 133
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\document_retrieval_service.py", "Python", 151, 46, 30, 227
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\execution_risk.py", "Python", 86, 1, 25, 112
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\intent_guard.py", "Python", 226, 22, 49, 297
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\metadata_ingestion_service.py", "Python", 132, 61, 26, 219
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\narrator_service.py", "Python", 395, 43, 46, 484
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\orchestrator.py", "Python", 296, 73, 38, 407
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\plan_generation_service.py", "Python", 18, 2, 6, 26
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\plan_normalization_service.py", "Python", 39, 2, 10, 51
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\plan_normalizer.py", "Python", 603, 133, 79, 815
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\plan_repair_service.py", "Python", 14, 2, 6, 22
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\planner_service.py", "Python", 379, 94, 44, 517
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\planning_context_service.py", "Python", 128, 2, 26, 156
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\planning_models.py", "Python", 220, 15, 68, 303
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\prompt_assembly_service.py", "Python", 67, 2, 11, 80
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\query_plan_repair.py", "Python", 524, 17, 76, 617
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\query_understanding.py", "Python", 213, 64, 54, 331
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\query_understanding_service.py", "Python", 5, 2, 5, 12
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\registry_validator.py", "Python", 240, 105, 45, 390
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\schema_retrieval_service.py", "Python", 30, 31, 11, 72
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\semantic_planning.py", "Python", 254, 48, 50, 352
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\semantic_resolution_service.py", "Python", 58, 2, 14, 74
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\session_service.py", "Python", 47, 22, 18, 87
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\sql_compiler.py", "Python", 551, 160, 108, 819
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\validation_service.py", "Python", 453, 54, 58, 565
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_api_smoke.py", "Python", 234, 51, 84, 369
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_clarification_reduction.py", "Python", 105, 58, 43, 206
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_compiler_placeholders.py", "Python", 438, 73, 54, 565
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_config_sprint3.py", "Python", 40, 12, 12, 64
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_date_expression_compiler.py", "Python", 35, 0, 10, 45
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_document_in_memory_retriever.py", "Python", 318, 71, 73, 462
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_document_retrieval_service.py", "Python", 75, 7, 18, 100
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_document_retriever.py", "Python", 178, 20, 32, 230
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_e2e_real_provider_eval_concurrency.py", "Python", 266, 0, 41, 307
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_e2e_real_provider_eval_verdicts.py", "Python", 690, 15, 84, 789
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_entity_retrieval.py", "Python", 144, 31, 30, 205
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_execution_risk.py", "Python", 35, 0, 11, 46
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_glossary_resolution.py", "Python", 100, 31, 37, 168
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_hybrid_prompt.py", "Python", 149, 18, 34, 201
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_intent_guard.py", "Python", 65, 0, 16, 81
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_json_file_catalog.py", "Python", 357, 29, 52, 438
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_jsonl_loader.py", "Python", 336, 37, 68, 441
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_metadata_ingestion.py", "Python", 397, 42, 94, 533
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_mock_executor.py", "Python", 338, 91, 70, 499
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_mock_llm_provider.py", "Python", 255, 67, 99, 421
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_multi_table.py", "Python", 891, 79, 166, 1136
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_narrator_leakage.py", "Python", 103, 0, 27, 130
