"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\deps.py", "Python", 19, 0, -1, 0, 18
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\main.py", "Python", 16, 0, 1, 1, 18
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_trace.py", "Python", 99, 0, 51, 38, 188
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\config.py", "Python", 9, 0, 0, 1, 10
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\data_paths.py", "Python", 63, 0, 14, 27, 104
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\execution_models.py", "Python", 3, 0, 0, 0, 3
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\semantic_models.py", "Python", 31, 0, 4, 5, 40
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\trace_models.py", "Python", 128, 0, 40, 22, 190
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\catalog\in_memory.py", "Python", -172, 0, -7, -6, -185
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\executor\oracle_executor.py", "Python", 22, 0, 0, 0, 22
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\mock_llm.py", "Python", 5, 0, 0, 0, 5
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\openai_compatible.py", "Python", 321, 0, 0, 40, 361
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\prompts.py", "Python", 73, 0, 3, 7, 83
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\embedding_retriever.py", "Python", 18, 0, 7, 1, 26
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\gating_policy.py", "Python", 45, 0, 72, 15, 132
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\hybrid_retriever.py", "Python", 15, 0, 10, 3, 28
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\in_memory_doc_retriever.py", "Python", 20, 0, 0, 3, 23
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\in_memory_retriever.py", "Python", 102, 0, 0, 10, 112
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\models.py", "Python", 6, 0, 8, 4, 18
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\registry.py", "Python", 22, 0, 2, 2, 26
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\repository.py", "Python", 30, 0, 0, 0, 30
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\catalog_embedding_indexer.py", "Python", 0, 0, 7, 0, 7
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\catalog_service.py", "Python", 5, 0, 0, 1, 6
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\clarification_decision_service.py", "Python", 160, 0, 0, 12, 172
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\document_retrieval_service.py", "Python", 134, 0, 0, 13, 147
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\example_embedding_indexer.py", "Python", 164, 0, 6, 31, 201
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\execution_risk.py", "Python", 70, 0, 0, 10, 80
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\filter_column_resolution_service.py", "Python", 205, 0, 131, 51, 387
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\grounding_config_provider.py", "Python", 120, 0, 87, 47, 254
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\intent_guard.py", "Python", 120, 0, 0, 17, 137
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\narrator_service.py", "Python", 88, 0, 1, 6, 95
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\orchestrator.py", "Python", 526, 0, 32, 31, 589
