Date : 2026-03-29 18:46:47
Directory : c:\Users\furkan.kiraz\Desktop\nl2sql\app
Total : 176 files,  39356 codes, 6082 comments, 7801 blanks, all 53239 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\embedding\base.py                      | Python   |         14 |         13 |          8 |         35 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\embedding\null_embedding.py            | Python   |         15 |          7 |         10 |         32 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\embedding\openai_compatible.py         | Python   |         61 |          8 |         18 |         87 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\executor\__init__.py                   | Python   |          0 |          0 |          1 |          1 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\executor\base.py                       | Python   |          7 |          3 |          7 |         17 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\executor\mock_executor.py              | Python   |        385 |        106 |         41 |        532 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\executor\oracle_executor.py            | Python   |        220 |        128 |         26 |        374 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\executor\sql_guard.py                  | Python   |         54 |         45 |         14 |        113 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\__init__.py                        | Python   |          0 |          0 |          1 |          1 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\base.py                            | Python   |         14 |         18 |          9 |         41 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\mock_llm.py                        | Python   |        730 |        166 |        119 |      1,015 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\openai_compatible.py               | Python   |        529 |         61 |         85 |        675 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\prompts.py                         | Python   |        779 |        188 |        119 |      1,086 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\metadata\__init__.py                   | Python   |          0 |          0 |          1 |          1 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\metadata\base.py                       | Python   |          8 |         20 |          7 |         35 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\metadata\file_loader.py                | Python   |        222 |         98 |         42 |        362 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\metadata\models.py                     | Python   |         41 |         31 |         18 |         90 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\__init__.py                  | Python   |          0 |          0 |          1 |          1 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\base.py                      | Python   |         32 |         61 |         20 |        113 |
